Numéro,Titre,Auteur(s),Theme(s),Ville(s)
Mémoire n°64,Des locomotives au pied des Alpes - De la gare Jarrie-Vizille à la gare  ,['Pascal reinhard'],['Voies de communication'],Vizille
Mémoire n°64,Champagne à Brié - Mont-Rolland  ,"['Denise rostaing', 'Pierre coing boyat']","['Enseignement', 'Histoires']",Jarrie
Mémoire n°64,Le prieuré de Vizille en BD  ,['Georges martin'],"['Arts', 'Bâtiments et édifices', 'Lieux remarquables', 'Religions']",Vizille
Mémoire n°64,1979 - Ah ! Si Arthur était là... Le Vilème festival de Vizille  ,['Jeannette della-vedova'],"['Contes et légendes', 'Théâtre', 'Vie locale']",Vizille
Mémoire n°64,Histoire de la famille Brun - Du rouleau à pâtisserie au rouleau compresseur !  - ,['Jean-louis philip'],"['Activités commerçantes', 'Activités industrielles', 'Personnages remarquables']",Vizille
Mémoire n°64,Les facteurs ruraux du Pays Vizillois sous le Second Empire  ,['Jacques gasqui'],['Vie locale'],Canton (38220)
Mémoire n°64,Les facteurs ruraux du Pays Vizillois sous le Second Empire  ,['Jacques gasqui'],['Vie locale'],Vizille
Mémoire n°64,Le centre d'apprentissage bilan d'une année de travail - 14 juillet 1952  ,['Denis bellon'],"['Enseignement', 'Souvenirs']",Vizille
Mémoire n°64,Jean Seyer (Surville nom de code dans la Résistance) un Lorrain au maquis de l'Disans  ,['Denis bellon'],"['Evènements', 'Grandes périodes', 'Guerres', 'Histoires']",Vizille
Mémoire n°64,Essai sur l'histoire minière et minéralogique des anciennes mines de fer de la commune de Saint-Pierre de Mésage  ,[],['Mines et minéralogie'],Saint pierre de mésage
Mémoire n°65,Éditorial  ,['Denis bellon'],"[""Vie de l'association""]",Vizille
Mémoire n°65,"La recherche historique, une histoire à rebondissements  ",['Pierre coing boyat'],"['Documents remarquables', 'Histoires', 'Lieux du pays vizillois', 'Lieux remarquables']",Canton (38220)
Mémoire n°65,La centrale hydroélectrique des Vernes - Une histoire remarquable  ,['Marie-christine bailly-maitre -'],"['Activités industrielles', 'Canaux et fontaines', 'Eau', 'Personnages remarquables', 'Rivières']",Livet et gavet
Mémoire n°65,La centrale hydroélectrique des Vernes - Une histoire remarquable  ,['Marie-christine bailly-maitre -'],"['Activités industrielles', 'Canaux et fontaines', 'Eau', 'Personnages remarquables', 'Rivières']",Rioupéroux
Mémoire n°65,La centrale hydroélectrique des Vernes - Une histoire remarquable  ,['Marie-christine bailly-maitre -'],"['Activités industrielles', 'Canaux et fontaines', 'Eau', 'Personnages remarquables', 'Rivières']",Séchilienne
Mémoire n°65,Les édifices religieux de l'ancien canton de Vizille - fère partie ,['Jean-claude michel'],"['Bâtiments et édifices', 'Religions']",Canton (38220)
Mémoire n°65,La remplaçante  ,"[""Collectif - les amis de l'histoire""]",['Littérature'],Vizille
Mémoire n°65,La poésie du jour par l'intelligence artificielle sur Vizille  ,['Roland mastrorillo'],['Divers'],Vizille
Mémoire n°65,Symphonie lacustre - Les lacs du Dauphiné - fère partie  ,['Thierry grand'],"['Canaux et fontaines', 'Eau', 'Lieux remarquables', 'Rivières']",Canton (38220)
Mémoire n°65,Symphonie lacustre - Les lacs du Dauphiné - fère partie  ,['Thierry grand'],"['Canaux et fontaines', 'Eau', 'Lieux remarquables', 'Rivières']",L'oisans
Mémoire n°65,Symphonie lacustre - Les lacs du Dauphiné - fère partie  ,['Thierry grand'],"['Canaux et fontaines', 'Eau', 'Lieux remarquables', 'Rivières']",Laffrey
Mémoire n°65,Parrainage des tuyaux d'orgue  ,['Daniel blanc-gonnet'],"['Arts', 'Bâtiments et édifices', 'Lieux remarquables']",Vizille
Mémoire n°65,Symphonie lacustre - Les lacs du Dauphiné (suite)  ,['Thierry grand'],"['Canaux et fontaines', 'Eau', 'Lieux remarquables', 'Rivières']",L'oisans
Mémoire n°65,Symphonie lacustre - Les lacs du Dauphiné (suite)  ,['Thierry grand'],"['Canaux et fontaines', 'Eau', 'Lieux remarquables', 'Rivières']",Massif de belledonne
Mémoire n°65,Maurice Gaillard  ,['Bernard tixier'],"['Grandes périodes', 'Guerres', 'Personnages remarquables']",Vizille
Mémoire n°65,L'histoire dans les archives communales - Le vingt-quatrième des pauvres  ,['Pierre coing boyat'],"['Divers', 'Religions']",Canton (38220)
Mémoire n°65,Souvenirs de Mohamed Boumeghra  ,['Jeannette della-vedova'],"['Evènements', 'Souvenirs', 'Vie locale']",Vizille
Mémoire n°65,Les vingt ans de l'association des amis de la chapelle  ,[],['Actualités'],Vizille
Mémoire n°65,La chapelle Saint-Barthélemy à Sersigaud  ,['Paul schwoerer'],"['Bâtiments et édifices', 'Lieux remarquables', 'Religions']",Matheysine
Mémoire n°65,Vizille demain  ,['Denis bellon'],"['Activités artisanales', 'Activités commerçantes', 'Arts']",Vizille
Mémoire n°66,40000€ pour le prieuré de Vizille  ,['Denis bellon'],"['Lieux remarquables', 'Patrimoine', ""Vie de l'association""]",Vizille
Mémoire n°66,Éditorial  ,[],['Edito'],Pays vizillois
Mémoire n°66,L'ancien diocèse de Grenoble et son art roman - Le Pays Vizillois  ,['Apolinne troyes'],"['Arts', 'Histoires', 'Lieux du pays vizillois', 'Lieux remarquables', 'Religions']",Pays vizillois
Mémoire n°66,Bâtiments et monuments que la pierre a bâtis !  ,['Thierry grand'],"['Lieux remarquables', 'Mines et minéralogie']",Pays vizillois
Mémoire n°66,Les édifices religieux de l'ancien canton de Vizille - 2ème partie  ,['Jean-claude michel'],"['Arts', 'Bâtiments et édifices', 'Lieux du pays vizillois', 'Lieux remarquables', 'Religions']",Pays vizillois
Mémoire n°66,La remplaçante (suite)  ,[],"['Littérature', 'Personnages remarquables']",Pays vizillois
Mémoire n°66,La poésie du jour 0 par l'intelligence artificielle sur Vizille ,[],"['Littérature', 'Technologies']",Vizille
Mémoire n°66,les mines de l’hermine  ,['Marie-christine bailly-maitre -'],"['Activités industrielles', 'Géologie', 'Montagne', 'Récits']",L'alpe d'huez
Mémoire n°66,les mines de l’hermine  ,['Marie-christine bailly-maitre -'],"['Activités industrielles', 'Géologie', 'Montagne', 'Récits']",L'oisans
Mémoire n°66,Lucie Baud a enfin son école à Saint-Pierre de Mésage ,['Denis bellon'],"['Grandes périodes', 'Histoires', 'Personnages remarquables']",Saint pierre de mésage
Mémoire n°66,Le tremplin de Saint-Nizier  ,['Denis bellon'],"['Evènements', 'Histoires', 'Lieux remarquables', 'Sport']",Grenoble
Mémoire n°66,Cérémonie du 11 novembre 2023  ,['Pierrette tournier'],"['Guerres', 'Récits', 'Souvenirs', 'Traditions', 'Vie locale']",Pays vizillois
Mémoire n°66,Cérémonie du 11 novembre 2023  ,['Pierrette tournier'],"['Guerres', 'Récits', 'Souvenirs', 'Traditions', 'Vie locale']",Vizille
Mémoire n°66,Rencontre à Séchilienne  ,['Bernard ycart'],"['Histoires', 'Personnages remarquables', 'Récits']",Pays vizillois
Mémoire n°66,Et si on parlait BD ?  ,['Georges martin'],"['Arts', 'Bande dessinée']",Pays vizillois
Mémoire n°67,Éditorial  ,['Denis bellon'],"[""Vie de l'association""]",Pays vizillois
Mémoire n°67,Les papeteries de Vizille - Une histoire de familles,['Gérard coste'],"['Activités industrielles', 'Canaux et fontaines', 'Eau', 'Personnages remarquables', 'Rivières']",Vizille
Mémoire n°67,Château de Maupertuis dit Château d'Hugues,['Pierre coing boyat'],"['Bâtiments et édifices', 'Lieux du pays vizillois', 'Lieux remarquables']",Jarrie
Mémoire n°67,Le chemin de croix de Luc Barbier à l'église de Vizille,['Michel merlin - michel vallon'],"['Documents remarquables', 'Histoires', 'Lieux du pays vizillois', 'Lieux remarquables']",Vizille
